=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Survey: AI,EBS_SHELF,EBS_SLOPE,GOA,NBS"
"Year: 2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1980"
"Species Code: 320"
=========================================================================
"Survey","Year","Cruise Join ID","Haul Join ID","Catch Join ID","Cruise Number","Vessel Number","Haul Number","Starting Latitude (dd)","Starting Longitude (dd)","Ending Latitude (dd)","Ending Longitude (dd)","Stratum","Stratum INPFC Area","Stratum Min Depth (m)","Stratum Max Depth (m)","Stratum Description","Stratum Regulatory Area Name","Stratum Type","Domain","Density","Gear Performance","Satisfactory Gear Performance","Gear Performance Note","Gear Depth","Bottom Depth","Species Code","Common Name","Scientific Name","Length (mm)","Frequency","Sex","Sample Type","Length Type","akfin_load_date"
GOA,2007,-623,-2981,-59651,200701,147,57,55.2689,-159.80901,55.28076,-159.8176,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",61,68,320,Pacific sleeper shark,Somniosus pacificus,1470,1,Female,1,5,29-SEP-21
GOA,2007,-625,-3337,-66172,200701,94,142,57.31005,-152.9693,57.29668,-152.9617,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",78,85,320,Pacific sleeper shark,Somniosus pacificus,3100,1,Female,1,5,29-SEP-21
GOA,2003,1180649,1180788,1187032,200301,143,106,55.67859,-157.39,55.68859,-157.37531,21,Chirikof,1,100,"Semidi Bank",CENTRAL GOA,SHELF,,,0,Y,"Good performance",91,98,320,Pacific sleeper shark,Somniosus pacificus,2000,1,Unknown,1,5,29-SEP-21
GOA,2003,1180649,1180751,1183858,200301,143,113,55.65075,-155.8797,55.65918,-155.89771,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",156,163,320,Pacific sleeper shark,Somniosus pacificus,2430,1,Female,1,5,29-SEP-21
GOA,2009,-636,-5303,-125148,200901,143,93,57.10717,-156.117,57.09978,-156.12421,20,Chirikof,1,100,"Upper Alaska Peninsula",CENTRAL GOA,SHELF,,,1.12,Y,"Hauled back early due to hang(s)",73,79,320,Pacific sleeper shark,Somniosus pacificus,1800,1,Female,1,5,29-SEP-21
GOA,2005,-608,-12955,-385365,200501,143,76,55.46592,-157.7487,55.47839,-157.74249,21,Chirikof,1,100,"Semidi Bank",CENTRAL GOA,SHELF,,,0,Y,"Good performance",90,98,320,Pacific sleeper shark,Somniosus pacificus,1750,1,Female,1,5,29-SEP-21
GOA,2009,-636,-5563,-131358,200901,143,133,58.30402,-153.9758,58.31274,-153.95779,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,7,Y,"On deck sampling error (MACE)",150,157,320,Pacific sleeper shark,Somniosus pacificus,2440,1,Female,1,5,29-SEP-21
GOA,2003,1166835,1166941,1189930,200301,147,123,57.08456,-155.63969,57.07296,-155.6322,220,Chirikof,201,300,"Lower Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",270,277,320,Pacific sleeper shark,Somniosus pacificus,2590,1,Female,1,5,29-SEP-21
GOA,2003,1166835,1166961,1190295,200301,147,127,57.09919,-155.29581,57.10609,-155.31641,220,Chirikof,201,300,"Lower Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",243,249,320,Pacific sleeper shark,Somniosus pacificus,2100,1,Male,1,5,29-SEP-21
GOA,2017,-715,-16697,-484470,201701,143,98,56.66482,-156.32529,56.67737,-156.32204,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",189,195,320,Pacific sleeper shark,Somniosus pacificus,3120,1,Female,1,5,29-SEP-21
GOA,2015,-699,-14375,-422448,201501,143,126,57.86053,-154.76835,57.85244,-154.78753,232,Kodiak,201,300,"Upper Shelikof Gully",CENTRAL GOA,GULLY,,,4.4,Y,"Large fish catch affected net performance",272,278,320,Pacific sleeper shark,Somniosus pacificus,2910,1,Female,1,5,29-SEP-21
GOA,2011,-667,-7778,-207623,201101,143,117,56.93345,-156.87915,56.92385,-156.86302,20,Chirikof,1,100,"Upper Alaska Peninsula",CENTRAL GOA,SHELF,,,0,Y,"Good performance",86,93,320,Pacific sleeper shark,Somniosus pacificus,2640,1,Male,1,5,29-SEP-21
GOA,2011,-667,-7807,-208092,201101,143,146,56.75095,-155.19033,56.73913,-155.20258,22,Chirikof,1,100,"Chirikof Bank",CENTRAL GOA,SHELF,,,0,Y,"Good performance",82,89,320,Pacific sleeper shark,Somniosus pacificus,2700,1,Male,1,5,29-SEP-21
GOA,2013,-686,-10603,-296044,201301,143,116,57.37604,-155.80295,57.38854,-155.79656,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",182,189,320,Pacific sleeper shark,Somniosus pacificus,3150,1,Female,1,5,29-SEP-21
GOA,2013,-686,-10615,-296301,201301,143,128,57.98887,-154.56726,57.99371,-154.54438,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",116,124,320,Pacific sleeper shark,Somniosus pacificus,2700,1,Female,1,5,29-SEP-21
AI,2004,1210976,1218393,1223255,200401,143,11,53.69974,-166.7867,53.69761,-166.7655,721,Southern Bering Sea,1,100,"E Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",87,95,320,Pacific sleeper shark,Somniosus pacificus,1010,1,Female,1,5,29-SEP-21
AI,2004,1210976,1218393,1223255,200401,143,11,53.69974,-166.7867,53.69761,-166.7655,721,Southern Bering Sea,1,100,"E Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",87,95,320,Pacific sleeper shark,Somniosus pacificus,1050,1,Female,1,5,29-SEP-21
GOA,2001,1077656,1078013,1086033,200101,94,109,56.02593,-156.0432,56.03776,-156.0312,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",136,143,320,Pacific sleeper shark,Somniosus pacificus,2160,1,Male,1,1,29-SEP-21
GOA,1999,978774,991158,995112,199901,94,121,56.98035,-155.7701,56.99491,-155.7621,220,Chirikof,201,300,"Lower Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",285,285,320,Pacific sleeper shark,Somniosus pacificus,2580,1,Female,1,1,29-SEP-21
GOA,2003,1173315,1173450,1176661,200301,134,86,54.87825,-160.8076,54.88707,-160.82381,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",82,89,320,Pacific sleeper shark,Somniosus pacificus,1320,1,Female,1,5,29-SEP-21
GOA,2005,-610,-12594,-355547,200501,134,29,54.50759,-162.1629,54.50947,-162.1839,110,Shumagin,101,200,"Sanak Gully",WESTERN GOA,GULLY,,,0,Y,"Good performance",135,141,320,Pacific sleeper shark,Somniosus pacificus,1850,1,Unknown,1,5,29-SEP-21
GOA,2005,-609,-13421,-367861,200501,147,223,58.38042,-149.9416,58.3787,-149.9192,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",39,46,320,Pacific sleeper shark,Somniosus pacificus,2050,1,Female,1,5,29-SEP-21
GOA,2009,-636,-4779,-135651,200901,143,30,54.80127,-163.0495,54.80078,-163.0732,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",41,47,320,Pacific sleeper shark,Somniosus pacificus,2180,1,Male,1,5,29-SEP-21
GOA,2003,1180649,1180800,1183946,200301,143,61,55.51965,-160.6026,55.50649,-160.5999,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",89,96,320,Pacific sleeper shark,Somniosus pacificus,2440,1,Female,1,5,29-SEP-21
GOA,2009,-636,-5563,-131358,200901,143,133,58.30402,-153.9758,58.31274,-153.95779,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,7,Y,"On deck sampling error (MACE)",150,157,320,Pacific sleeper shark,Somniosus pacificus,3160,1,Female,1,5,29-SEP-21
GOA,2007,-624,-3071,-61399,200701,143,141,57.52843,-154.72681,57.51749,-154.7406,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",179,185,320,Pacific sleeper shark,Somniosus pacificus,2120,1,Female,1,5,29-SEP-21
GOA,2005,-609,-13231,-362910,200501,147,33,54.67073,-162.9295,54.65934,-162.91701,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",79,85,320,Pacific sleeper shark,Somniosus pacificus,1460,1,Female,1,5,29-SEP-21
GOA,2015,-699,-14375,-422448,201501,143,126,57.86053,-154.76835,57.85244,-154.78753,232,Kodiak,201,300,"Upper Shelikof Gully",CENTRAL GOA,GULLY,,,4.4,Y,"Large fish catch affected net performance",272,278,320,Pacific sleeper shark,Somniosus pacificus,2110,1,Female,1,5,29-SEP-21
GOA,2013,-686,-10630,-296676,201301,143,143,58.39969,-153.78418,58.39496,-153.80668,132,Kodiak,101,200,"Barren Islands",CENTRAL GOA,SHELF,,,0,Y,"Good performance",189,196,320,Pacific sleeper shark,Somniosus pacificus,2270,1,Male,1,5,29-SEP-21
GOA,2009,-638,-5446,-130543,200901,159,29,54.83437,-163.00481,54.82773,-162.9801,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",79,85,320,Pacific sleeper shark,Somniosus pacificus,2850,1,Female,1,5,29-SEP-21
AI,2012,-677,-8645,-234717,201201,148,21,53.55842,-167.63043,53.56618,-167.61225,794,Southern Bering Sea,301,500,"Combined Southern Bering Sea",S BERING SEA,NORTH,,,2.1,Y,"Wing damaged",338,346,320,Pacific sleeper shark,Somniosus pacificus,660,1,Female,1,5,29-SEP-21
AI,2004,1210976,1218393,1223255,200401,143,11,53.69974,-166.7867,53.69761,-166.7655,721,Southern Bering Sea,1,100,"E Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",87,95,320,Pacific sleeper shark,Somniosus pacificus,1120,1,Female,1,5,29-SEP-21
AI,2010,-656,-6223,-157709,201001,148,6,54.1812,-166.31463,54.1874,-166.29543,793,Southern Bering Sea,201,300,"Combined Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",220,227,320,Pacific sleeper shark,Somniosus pacificus,1260,1,Female,1,5,29-SEP-21
GOA,2001,1077656,1078029,1086326,200101,94,127,56.7221,-155.1747,56.72104,-155.1868,22,Chirikof,1,100,"Chirikof Bank",CENTRAL GOA,SHELF,,,4,Y,"Caught unspecified object",73,80,320,Pacific sleeper shark,Somniosus pacificus,1730,1,Female,1,1,29-SEP-21
GOA,2001,1077655,1077767,1080369,200101,57,133,57.92742,-154.79401,57.92217,-154.8163,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",115,121,320,Pacific sleeper shark,Somniosus pacificus,2050,1,Female,1,1,29-SEP-21
GOA,1996,881076,881792,883704,199601,100,137,57.17614,-155.9227,57.16969,-155.944,220,Chirikof,201,300,"Lower Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",256,256,320,Pacific sleeper shark,Somniosus pacificus,2490,1,Female,1,1,29-SEP-21
GOA,2003,1173315,1173327,1175362,200301,134,199,57.19667,-153.0052,57.20293,-152.98399,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",115,121,320,Pacific sleeper shark,Somniosus pacificus,2630,1,Male,1,5,29-SEP-21
GOA,2007,-625,-3196,-64462,200701,94,81,55.21846,-157.30029,55.21828,-157.3253,21,Chirikof,1,100,"Semidi Bank",CENTRAL GOA,SHELF,,,0,Y,"Good performance",93,99,320,Pacific sleeper shark,Somniosus pacificus,1580,1,Male,1,5,29-SEP-21
GOA,2009,-636,-4779,-135651,200901,143,30,54.80127,-163.0495,54.80078,-163.0732,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",41,47,320,Pacific sleeper shark,Somniosus pacificus,2000,1,Female,1,5,29-SEP-21
GOA,2005,-608,-12904,-384330,200501,143,25,54.45741,-163.4843,54.45967,-163.5056,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",101,108,320,Pacific sleeper shark,Somniosus pacificus,1570,1,Female,1,5,29-SEP-21
GOA,2003,1180649,1180763,1184817,200301,143,128,56.53696,-155.7383,56.54822,-155.7242,220,Chirikof,201,300,"Lower Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",204,211,320,Pacific sleeper shark,Somniosus pacificus,2530,1,Unknown,1,5,29-SEP-21
GOA,2005,-608,-12907,-384383,200501,143,28,54.71472,-162.84821,54.70632,-162.8322,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",85,92,320,Pacific sleeper shark,Somniosus pacificus,2990,1,Female,1,5,29-SEP-21
GOA,2007,-624,-2752,-55691,200701,143,21,54.20005,-164.4731,54.18731,-164.4814,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",84,91,320,Pacific sleeper shark,Somniosus pacificus,1650,1,Female,1,5,29-SEP-21
GOA,2009,-636,-5563,-131358,200901,143,133,58.30402,-153.9758,58.31274,-153.95779,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,7,Y,"On deck sampling error (MACE)",150,157,320,Pacific sleeper shark,Somniosus pacificus,3230,1,Male,1,5,29-SEP-21
GOA,2009,-636,-5578,-131755,200901,143,148,58.95293,-152.6611,58.94027,-152.6662,132,Kodiak,101,200,"Barren Islands",CENTRAL GOA,SHELF,,,0,Y,"Good performance",158,165,320,Pacific sleeper shark,Somniosus pacificus,2160,1,Female,1,5,29-SEP-21
GOA,2005,-609,-13230,-362887,200501,147,32,54.62597,-163.34399,54.62319,-163.3298,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,5.1,Y,"Net came off bottom",69,76,320,Pacific sleeper shark,Somniosus pacificus,1620,1,Female,1,5,29-SEP-21
GOA,2013,-686,-10630,-296676,201301,143,143,58.39969,-153.78418,58.39496,-153.80668,132,Kodiak,101,200,"Barren Islands",CENTRAL GOA,SHELF,,,0,Y,"Good performance",189,196,320,Pacific sleeper shark,Somniosus pacificus,2560,1,Male,1,5,29-SEP-21
GOA,2009,-638,-5446,-130543,200901,159,29,54.83437,-163.00481,54.82773,-162.9801,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",79,85,320,Pacific sleeper shark,Somniosus pacificus,2190,1,Male,1,5,29-SEP-21
AI,2002,1145916,1146053,1149235,200201,94,16,54.20549,-165.7466,54.21647,-165.756,721,Southern Bering Sea,1,100,"E Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",85,93,320,Pacific sleeper shark,Somniosus pacificus,1290,1,Unknown,1,1,29-SEP-21
GOA,2001,1077656,1078144,1088600,200101,94,259,59.11934,-152.83,59.11988,-152.8575,132,Kodiak,101,200,"Barren Islands",CENTRAL GOA,SHELF,,,0,Y,"Good performance",142,149,320,Pacific sleeper shark,Somniosus pacificus,1600,1,Male,1,5,29-SEP-21
GOA,2001,1077656,1078013,1086033,200101,94,109,56.02593,-156.0432,56.03776,-156.0312,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",136,143,320,Pacific sleeper shark,Somniosus pacificus,2790,1,Female,,,29-SEP-21
GOA,2003,1173315,1173541,1180516,200301,134,53,54.78245,-163.2565,54.78809,-163.23759,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",71,78,320,Pacific sleeper shark,Somniosus pacificus,2640,1,Female,1,5,29-SEP-21
GOA,2003,1173315,1173435,1175929,200301,134,66,54.58546,-162.81039,54.57419,-162.8187,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",96,103,320,Pacific sleeper shark,Somniosus pacificus,1470,1,Male,1,5,29-SEP-21
GOA,1999,978774,991306,996863,199901,94,40,54.63657,-160.3451,54.63905,-160.3674,110,Shumagin,101,200,"Sanak Gully",WESTERN GOA,GULLY,,,0,Y,"Good performance",114,114,320,Pacific sleeper shark,Somniosus pacificus,1400,1,Female,1,1,29-SEP-21
GOA,2003,1173315,1173464,1176947,200301,134,103,55.20771,-157.4259,55.22011,-157.41811,21,Chirikof,1,100,"Semidi Bank",CENTRAL GOA,SHELF,,,0,Y,"Good performance",89,96,320,Pacific sleeper shark,Somniosus pacificus,1740,1,Female,1,5,29-SEP-21
GOA,2005,-609,-13388,-367012,200501,147,190,58.42112,-152.3932,58.41017,-152.40289,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",125,131,320,Pacific sleeper shark,Somniosus pacificus,1950,1,Unknown,1,5,29-SEP-21
GOA,2003,1180649,1180656,1185662,200301,143,7,53.24998,-167.0376,53.24715,-167.05811,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",99,106,320,Pacific sleeper shark,Somniosus pacificus,1710,1,Male,1,5,29-SEP-21
GOA,2007,-625,-3195,-64425,200701,94,80,55.21003,-157.408,55.20035,-157.4261,21,Chirikof,1,100,"Semidi Bank",CENTRAL GOA,SHELF,,,0,Y,"Good performance",89,95,320,Pacific sleeper shark,Somniosus pacificus,1950,1,Male,1,5,29-SEP-21
GOA,2005,-608,-12906,-384364,200501,143,27,54.63717,-163.07001,54.64204,-163.08949,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",51,58,320,Pacific sleeper shark,Somniosus pacificus,1650,1,Female,1,5,29-SEP-21
GOA,2007,-624,-3018,-60217,200701,143,88,56.25098,-158.1768,56.25639,-158.1554,120,Chirikof,101,200,"East Shumagin Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",101,107,320,Pacific sleeper shark,Somniosus pacificus,1410,1,Female,1,5,29-SEP-21
GOA,2005,-609,-13234,-362985,200501,147,36,54.46243,-162.2345,54.46659,-162.2554,110,Shumagin,101,200,"Sanak Gully",WESTERN GOA,GULLY,,,0,Y,"Good performance",138,145,320,Pacific sleeper shark,Somniosus pacificus,1980,1,Male,1,5,29-SEP-21
GOA,2019,-731,-19026,-565002,201901,148,116,57.37793,-155.80211,57.3908,-155.79671,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",175,181,320,Pacific sleeper shark,Somniosus pacificus,2750,1,Unknown,1,5,29-SEP-21
GOA,2015,-699,-14375,-422448,201501,143,126,57.86053,-154.76835,57.85244,-154.78753,232,Kodiak,201,300,"Upper Shelikof Gully",CENTRAL GOA,GULLY,,,4.4,Y,"Large fish catch affected net performance",272,278,320,Pacific sleeper shark,Somniosus pacificus,3440,1,Male,1,5,29-SEP-21
GOA,2015,-699,-14382,-422628,201501,143,133,58.05006,-154.36141,58.06198,-154.35053,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",160,166,320,Pacific sleeper shark,Somniosus pacificus,3090,1,Female,1,5,29-SEP-21
GOA,2013,-686,-10615,-296301,201301,143,128,57.98887,-154.56726,57.99371,-154.54438,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",116,124,320,Pacific sleeper shark,Somniosus pacificus,2880,1,Female,1,5,29-SEP-21
GOA,2015,-699,-14355,-422063,201501,143,106,57.53702,-155.23747,57.52783,-155.25451,232,Kodiak,201,300,"Upper Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",259,265,320,Pacific sleeper shark,Somniosus pacificus,1890,1,Male,1,5,29-SEP-21
GOA,1990,274,26265,524522,199008,21,117,59.43083,-140.22017,59.4498,-140.18602,240,Yakutat,201,300,"Yakutat Gullies",EASTERN GOA,GULLY,,,0,Y,"Good performance",227,227,320,Pacific sleeper shark,Somniosus pacificus,2000,1,Unknown,1,5,29-SEP-21
GOA,1987,330,33793,617288,198701,560,327,57.29617,-156.03317,57.2715,-155.98317,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",179,179,320,Pacific sleeper shark,Somniosus pacificus,1630,1,Unknown,1,1,29-SEP-21
GOA,1999,978773,985774,989526,199901,57,143,56.85682,-151.6179,56.84461,-151.6345,330,Kodiak,301,500,"Kodiak Slope",CENTRAL GOA,SLOPE,,,-6.22,N,"Wire out greater than recommended scope",353,353,320,Pacific sleeper shark,Somniosus pacificus,1870,1,Unknown,1,1,29-SEP-21
GOA,2003,1173315,1173327,1175362,200301,134,199,57.19667,-153.0052,57.20293,-152.98399,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",115,121,320,Pacific sleeper shark,Somniosus pacificus,2240,1,Female,1,5,29-SEP-21
GOA,2005,-608,-12893,-384149,200501,143,14,53.89108,-166.2032,53.90336,-166.1996,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",52,59,320,Pacific sleeper shark,Somniosus pacificus,1510,1,Female,1,5,29-SEP-21
GOA,2007,-624,-3077,-61499,200701,143,147,58.05073,-154.3605,58.06261,-154.3503,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",157,163,320,Pacific sleeper shark,Somniosus pacificus,3000,1,Female,1,5,29-SEP-21
GOA,2003,1166835,1166904,1187550,200301,147,75,54.81657,-160.2448,54.81788,-160.2663,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",72,80,320,Pacific sleeper shark,Somniosus pacificus,1360,1,Female,1,5,29-SEP-21
GOA,2007,-624,-3625,-70152,200701,143,202,58.15381,-152.2278,58.14281,-152.21381,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",172,179,320,Pacific sleeper shark,Somniosus pacificus,2490,1,Female,1,5,29-SEP-21
GOA,2003,1166835,1167017,1191462,200301,147,199,58.45004,-152.38139,58.43817,-152.39133,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",134,142,320,Pacific sleeper shark,Somniosus pacificus,1890,1,Male,1,5,29-SEP-21
GOA,2015,-701,-14451,-402737,201501,178,37,54.54245,-162.71013,54.52944,-162.70347,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",117,123,320,Pacific sleeper shark,Somniosus pacificus,2400,1,Female,1,5,29-SEP-21
GOA,2015,-699,-14372,-422389,201501,143,123,57.87824,-153.89683,57.86953,-153.91556,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",176,183,320,Pacific sleeper shark,Somniosus pacificus,3240,1,Female,1,5,29-SEP-21
GOA,2011,-667,-7460,-225722,201101,143,46,55.83557,-159.79417,55.84063,-159.7718,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",38,46,320,Pacific sleeper shark,Somniosus pacificus,2440,1,Male,1,5,29-SEP-21
GOA,2011,-667,-7787,-207779,201101,143,126,56.93398,-155.81613,56.94585,-155.80607,220,Chirikof,201,300,"Lower Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",294,300,320,Pacific sleeper shark,Somniosus pacificus,2660,1,Female,1,5,29-SEP-21
