"SPECIES","AREA_COMBO","SURVEY_YEAR","AREA","N_STATIONS","N_POS_CATCH","AREA_CPUE","BOOT_AREA_CPUE","BOOT_BIAS","BOOT_SD","BOOT_LCI","BOOT_UCI","AKFIN_LOAD_DATE"
"Spiny dogfish","FMP (without Inside waters)",2002,"BSAI",196,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2002,"CAN",171,149,0.10304041474685235,0.10294790547619127,-0.00009250927066109528,0.00778832327974517,0.08803155969177012,0.117935388813166,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2002,"GOA",688,271,0.05165776874934368,0.05149903771787782,-0.000158731031465853,0.00477294740460132,0.043006636201404,0.06153756863402324,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2002,"WC",84,19,0.03032907508270087,0.03027367076411595,-0.000055404318584913875,0.01023669568355243,0.01427252254810011,0.05580625246461526,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2003,"BSAI",196,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2003,"CAN",170,162,0.10285239280055604,0.1030505428309499,0.000198150030393876,0.01080843872335374,0.08368307447489476,0.127778387982072,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2003,"GOA",696,388,0.11056745271346144,0.11026343467950728,-0.0003040180339541343,0.00660577935277721,0.0989237514236107,0.1249927485305797,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2003,"WC",84,32,0.03407950284452398,0.03398301044133789,-0.00009649240318609226,0.00801191005486134,0.0208623473786249,0.05309838292623894,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2004,"BSAI",191,6,0.00015757461210248066,0.00015837588928900307,0.0000008012771865224138,0.00007628602586913525,0.000053284688326367773,0.00040174487498032706,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2004,"CAN",170,153,0.08888492879331301,0.08924796938364205,0.0003630405903290307,0.01098110548332893,0.06999326748394749,0.11273519036445943,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2004,"GOA",679,299,0.09083115024790712,0.09064867959828284,-0.00018247064962427503,0.00696795554755163,0.07774573122687359,0.1050121766986912,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2004,"WC",83,25,0.02232413316990011,0.02230587555181594,-0.00001825761808417134,0.00653839713604694,0.0119414675362766,0.03820345338852748,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2005,"BSAI",188,1,0.000038492695811348565,0.00003911005964289747,0.0000006173638315489044,0.000038711461256828986,0,0.0002311078980982091,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2005,"CAN",168,164,0.1253296445519946,0.12518324340740158,-0.00014640114459302245,0.00936941232126688,0.109897515000733,0.1460358580312329,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2005,"GOA",695,368,0.08248894557860892,0.08274601840947317,0.0002570728308642495,0.00631254746889468,0.07104355652408999,0.09590637972341548,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2005,"WC",84,42,0.04122698103139283,0.04141498771324935,0.0001880066818565132,0.0084869352239172,0.02712106616151402,0.06165549453210412,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2006,"BSAI",227,8,0.0004545237866185354,0.00045802534926959424,0.0000035015626510588203,0.00016634037433153578,0.0001902657384842703,0.0008650748273290374,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2006,"CAN",168,166,0.13955827878991203,0.13908727562202303,-0.0004710031678890058,0.00864330291144301,0.1239737010256352,0.15807725451116056,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2006,"GOA",693,362,0.0914777867479942,0.09129482218692753,-0.0001829645610667008,0.00647111689071509,0.07971597860954212,0.10491842961293356,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2006,"WC",109,46,0.05305311652240856,0.0530474261960449,-0.000005690326363654019,0.0098422107765955991,0.03565636671863635,0.0759733406209094,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2007,"BSAI",220,7,0.000370728183315988,0.0003676616070441743,-0.000003066576271813716,0.00014116231981119311,0.00013897078461499895,0.0007410474554454477,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2007,"GOA",702,346,0.08971572447733582,0.08965992789656037,-0.000055796580775452354,0.00571672777649363,0.07963044341833073,0.10177524104094876,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2007,"WC",102,46,0.0854065404776703,0.08630167622356681,0.0008951357458965165,0.01617082279125443,0.05883293492804847,0.12225370663600824,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2008,"BSAI",215,13,0.0009876695127116629,0.000998440281182254,0.000010770768470590988,0.0003172880722673551,0.0005152433727068341,0.00183068189694671,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2008,"GOA",694,355,0.063202877488636,0.06316130496579933,-0.00004157252283666646,0.0045657729757744,0.05447958653977144,0.07290798275139974,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2008,"WC",122,57,0.05560163376019134,0.05540901894368647,-0.0001926148165048644,0.00934238234415781,0.03958264342529846,0.07719845203507995,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2009,"BSAI",218,2,0.00006687682782812143,0.00006464097154116954,-0.000002235856286951889,0.000045323417579378546,0,0.0002130019552712601,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2009,"GOA",679,388,0.05590722670283075,0.05575547590420614,-0.00015175079862461,0.00433451737878262,0.04839312551049481,0.06592574355038562,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2009,"WC",101,64,0.04531297471878996,0.0449601470398954,-0.00035282767889455863,0.00915183317921076,0.03076480779967874,0.06736788888330328,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2010,"BSAI",217,9,0.0002604994690337225,0.00026278745426998345,0.00000228798523626097,0.00008577538762964241,0.0001161726262652776,0.0004638591026103407,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2010,"CAN",170,168,0.13091501938136493,0.13095229983932247,0.00003728045795753365,0.01121411704381445,0.11033158540582907,0.15465934595173214,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2010,"WC",83,40,0.03005826361665558,0.03007922090736745,0.000020957290711869775,0.0079039256583413,0.01741905462333521,0.04918052759498453,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2011,"BSAI",216,5,0.0001936187177374299,0.00019917391764235284,0.000005555199904922934,0.00008530594481445071,0.00007671506018406613,0.0004249030865449943,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2011,"CAN",170,165,0.12975901085364816,0.1300765238558435,0.00031751300219537426,0.01052312295214896,0.11002194394702616,0.15197692795109796,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2011,"WC",134,63,0.0573422437534106,0.05733587158809485,-0.000006372165315744749,0.00961812220927558,0.03956677967894208,0.07794902996719111,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2012,"BSAI",221,3,0.0001719650380216526,0.00017109215672056442,-0.0000008728813010881926,0.00010353567007760884,0.00005701964531719008,0.0005153952520232381,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2012,"CAN",168,164,0.09450905266321089,0.09444746195219528,-0.00006159071101559388,0.00871628774432676,0.07949951410371203,0.11433348245975128,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2012,"WC",94,40,0.03986519564037761,0.0394658923208504,-0.0003993033195272139,0.01039645885438737,0.02434622833644932,0.06800966527449794,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2013,"BSAI",216,9,0.00035070565133639767,0.000352661406793696,0.0000019557554572983255,0.000118041074103821,0.0001558851851169302,0.0006247520012295463,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2013,"CAN",169,153,0.1049043287001102,0.10472315850696638,-0.00018117019314381477,0.00907525623335166,0.08890644646248509,0.12487309721929804,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2013,"WC",118,48,0.03790719523824448,0.03768398573826641,-0.00022320949997806788,0.00760633219203599,0.02538482738298488,0.05590045086299287,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2014,"BSAI",274,5,0.0001580219789879546,0.00015460266979496563,-0.000003419309192988977,0.00007425057730948054,0.00005286015925352731,0.0003957928282037768,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2014,"CAN",168,164,0.07710501823025624,0.0773667014327515,0.00026168320249525534,0.00725137509399776,0.06375673926449177,0.09253661460821336,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2014,"WC",170,65,0.03139375063046559,0.03135211051241538,-0.00004164011805020407,0.00601222211449309,0.02177005677969499,0.04629506041086752,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2015,"BSAI",218,2,0.00006759460358614136,0.00006619319937757617,-0.0000014014042085651877,0.0000460413586271867,0,0.00020439539586621265,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2015,"CAN",168,162,0.05557637280283417,0.05581520333269949,0.00023883052986532063,0.00486752350069376,0.04700232128442772,0.06657412143039149,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2015,"WC",104,62,0.04071341683422083,0.04104326171175652,0.0003298448775356927,0.00866205468203206,0.02685604405627591,0.06252265628900902,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2016,"BSAI",290,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2016,"CAN",169,162,0.05522845603620262,0.05523775307927622,0.000009297043073598632,0.00704882120053748,0.04334267902273146,0.0728450275112793,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2016,"GOA",693,316,0.06427446415023007,0.06419860017759191,-0.00007586397263815992,0.00504482478144165,0.05523792344063877,0.07504756973865385,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2016,"WC",103,35,0.03552916752735766,0.03541305525037385,-0.00011611227698381243,0.00754766689955096,0.02301423622059345,0.05357072711862249,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2017,"BSAI",324,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2017,"CAN",168,158,0.08762145801241683,0.08780724253740525,0.00018578452498842213,0.00965126579807582,0.07028096746783259,0.1083546964621981,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2017,"GOA",697,379,0.09370174580586169,0.0936697312639395,-0.00003201454192218456,0.0054542676875917,0.08372550714691052,0.1047039114086764,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2017,"WC",186,60,0.03236764014425639,0.03228654613407131,-0.00008109401018508572,0.00596563668708771,0.02197517786467153,0.04586350624076241,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2018,"BSAI",223,1,0.000030772474855564445,0.00003054695595994732,-0.00000022551889561712646,0.00003053776360226295,0,0.00018274902883391573,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2018,"CAN",301,286,0.10741756716606032,0.10758089857871576,0.00016333141265544027,0.00683293138524878,0.09460790458113014,0.12137370753892682,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2018,"GOA",686,355,0.0563971456093733,0.05648407056828852,0.00008692495891522017,0.00440530295163286,0.04879963212092893,0.06622704309162865,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2018,"WC",116,56,0.06367300938677337,0.06352529739060449,-0.0001477119961688783,0.01158993278924112,0.04479045343465258,0.09133183382357096,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2019,"BSAI",221,1,0.00003125159859687376,0.000031711400426538595,0.0000004598018296648362,0.00003127746114698675,0,0.0001823443588929463,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2019,"CAN",164,155,0.06373756658036282,0.06384333124606999,0.00010576466570716424,0.00519421321871127,0.05389089692708324,0.07393915729340625,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2019,"GOA",799,425,0.0832059341744676,0.08309685318656675,-0.00010908098790085584,0.00487108525989924,0.07429003451151643,0.09369999404418336,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2019,"WC",104,49,0.03640606878980216,0.03618471145816043,-0.00022135733164173332,0.00925878310585215,0.02279491140443401,0.06147750568673241,21-JUL-22
"Spiny dogfish","NMFS management area",1998,"AI",77,2,0.00019419787723300107,0.00019008990571269465,-0.000004107971520306416,0.00013177304167976154,0,0.0007510861490197523,21-JUL-22
"Spiny dogfish","NMFS management area",1998,"BS",41,2,0.0003661872750094766,0.0003564294101854509,-0.000009757864824025649,0.00024580392229841955,0,0.00110349824928864,21-JUL-22
"Spiny dogfish","NMFS management area",1998,"CAN",130,114,0.1268285881673384,0.12688654747315908,0.000057959305820698415,0.01215829063754258,0.10378678276860624,0.1516723700733505,21-JUL-22
"Spiny dogfish","NMFS management area",1998,"CGOA",387,196,0.03859000059873471,0.03851624494755139,-0.00007375565118331734,0.00415910456693403,0.03138872899942726,0.04823801242421725,21-JUL-22
"Spiny dogfish","NMFS management area",1998,"EGOA",192,180,0.20922139506119203,0.20910478472261815,-0.0001166103385738526,0.01541511688578818,0.1782687847291753,0.2390477277690839,21-JUL-22
"Spiny dogfish","NMFS management area",1998,"INSIDE",67,34,0.02859066324409806,0.02870812696281222,0.00011746371871416624,0.00765217154455112,0.01732610019832595,0.04957191410878806,21-JUL-22
"Spiny dogfish","NMFS management area",1998,"WGOA",126,24,0.00186537116046121,0.00185450118332766,-0.000010869977133542638,0.0003735794090862387,0.00122390557165624,0.00280968040987448,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"AI",91,4,0.00031526473422095313,0.00031519924507312006,-0.00000006548914783307149,0.00015457671676162712,0.00007864819057524045,0.0007832768819392989,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"BS",8,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"CAN",169,154,0.13242761914377332,0.13272715371796523,0.00029953457419190643,0.01329926956151494,0.10978236196469214,0.16037324978731296,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"CGOA",389,121,0.01453886281210307,0.01451346595551505,-0.000025396856588017977,0.00209221973575418,0.01103029922103009,0.01963999627952581,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"EGOA",190,138,0.09953739077352532,0.09971795105476784,0.00018056028124251167,0.01118040863653348,0.08007722560333684,0.12366171350287009,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"INSIDE",70,30,0.02240000079023927,0.02243835683088359,0.00003835604064432105,0.00662633735714773,0.01278293442014163,0.04179748976898612,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"WC",84,36,0.04706018935833133,0.0476471602404018,0.0005869708820704644,0.01337650185794914,0.02490425667356671,0.07786481455605734,21-JUL-22
"Spiny dogfish","NMFS management area",1999,"WGOA",122,5,0.00036734412247297016,0.0003631130040339668,-0.000004231118439003336,0.00016980742449739504,0.00011749982330282122,0.0009099804166759568,21-JUL-22
"Spiny dogfish","NMFS management area",2000,"AI",98,2,0.00015136909134182844,0.00014908272830331613,-0.000002286363038512309,0.00010430764140586542,0,0.0004735253257537228,21-JUL-22
"Spiny dogfish","NMFS management area",2000,"BS",95,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2000,"CGOA",376,131,0.02771094529883181,0.02748186667700112,-0.00022907862183069172,0.00348661886986598,0.02167405128517578,0.03560902959466167,21-JUL-22
"Spiny dogfish","NMFS management area",2000,"EGOA",183,145,0.12275885147823495,0.12283599639304885,0.00007714491481386476,0.01186728274506528,0.10044473529264032,0.14621410894858236,21-JUL-22
"Spiny dogfish","NMFS management area",2000,"INSIDE",72,32,0.03527164648786891,0.03544899480431432,0.0001773483164454054,0.00924792728176578,0.02118677397098631,0.06064429054013638,21-JUL-22
"Spiny dogfish","NMFS management area",2001,"AI",96,2,0.00021159377817829905,0.0002069428298905609,-0.000004650948287738188,0.0001487155745889979,0,0.0007391746444711146,21-JUL-22
"Spiny dogfish","NMFS management area",2001,"BS",98,2,0.00020572420746301984,0.00020644234917482736,0.000000718141711807547,0.00014953021742544493,0,0.0007209358300028277,21-JUL-22
"Spiny dogfish","NMFS management area",2001,"CGOA",375,174,0.05442850963608743,0.05401720717433919,-0.0004113024617482461,0.00528702818968446,0.04554161860147083,0.06764461523283626,21-JUL-22
"Spiny dogfish","NMFS management area",2001,"EGOA",188,162,0.2032506151146589,0.20302771261227723,-0.0002229025023816611,0.01419396294084715,0.1771639305810872,0.23293998981654124,21-JUL-22
"Spiny dogfish","NMFS management area",2001,"INSIDE",67,30,0.03792527384734238,0.03799270705089227,0.00006743320354989091,0.00753031748227526,0.02492768950906337,0.05445720091999009,21-JUL-22
"Spiny dogfish","NMFS management area",2001,"WC",84,24,0.03172438516914178,0.0316620791162914,-0.00006230605285037494,0.00842160135854214,0.01801121296472023,0.05220661493709892,21-JUL-22
"Spiny dogfish","NMFS management area",2002,"AI",96,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2002,"BS",100,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2002,"CAN",171,149,0.10304041474685235,0.10313830144227512,0.0000978866954227664,0.00806285863891905,0.08925656948062072,0.12159432012852868,21-JUL-22
"Spiny dogfish","NMFS management area",2002,"CGOA",373,111,0.02189935367917223,0.02199218818466005,0.00009283450548782172,0.00350476753207185,0.01596203348109433,0.02972125275513255,21-JUL-22
"Spiny dogfish","NMFS management area",2002,"EGOA",189,154,0.1434307543568516,0.14326657257656933,-0.0001641817802822687,0.01276151241688621,0.1197944776417454,0.16986263022479348,21-JUL-22
"Spiny dogfish","NMFS management area",2002,"WC",84,19,0.03032907508270087,0.03041291261035314,0.0000838375276522689,0.00997511073514111,0.01500520481369277,0.0568335928947724,21-JUL-22
"Spiny dogfish","NMFS management area",2002,"WGOA",126,6,0.0004812654011534262,0.0004832971830779456,0.000002031781924519431,0.00018676391573677615,0.00016161397122622755,0.0009583084732002265,21-JUL-22
"Spiny dogfish","NMFS management area",2003,"AI",93,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2003,"BS",103,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2003,"CAN",170,162,0.10285239280055604,0.1029066600503112,0.00005426724975517161,0.01079108979814765,0.08320926012072037,0.12542145862518142,21-JUL-22
"Spiny dogfish","NMFS management area",2003,"EGOA",187,168,0.2334494987098379,0.23354001432757193,0.00009051561773404382,0.01566086584927719,0.20457655879858871,0.26576292491738285,21-JUL-22
"Spiny dogfish","NMFS management area",2003,"INSIDE",65,25,0.03527710654235661,0.03528392497382596,0.0000068184314693450765,0.01092184879453005,0.01987706509958049,0.06885814653422591,21-JUL-22
"Spiny dogfish","NMFS management area",2003,"WC",84,32,0.03407950284452398,0.03395776469327333,-0.00012173815125064712,0.00781389112182392,0.0206751832444106,0.05288728054220167,21-JUL-22
"Spiny dogfish","NMFS management area",2004,"AI",93,6,0.00032532871946950345,0.0003281187136145444,0.0000027899941450409233,0.00015597435750220858,0.00010883211566495792,0.0008090345708177503,21-JUL-22
"Spiny dogfish","NMFS management area",2004,"BS",98,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2004,"CAN",170,153,0.08888492879331301,0.0895428520322063,0.0006579232388932849,0.01081631618609032,0.06906821513614848,0.11133368667822192,21-JUL-22
"Spiny dogfish","NMFS management area",2004,"CGOA",368,144,0.04231228225512325,0.04228748920264152,-0.000024793052481722477,0.00467757963280087,0.03396079897558773,0.05273400614009561,21-JUL-22
"Spiny dogfish","NMFS management area",2004,"INSIDE",69,28,0.02328418330758333,0.02309589663628512,-0.0001882866712982073,0.0091630631209876,0.01169674186950083,0.0580788465334166,21-JUL-22
"Spiny dogfish","NMFS management area",2004,"WC",83,25,0.02232413316990011,0.02216425969196445,-0.0001598734779356542,0.00653018763512879,0.0119875086814074,0.03921077464087439,21-JUL-22
"Spiny dogfish","NMFS management area",2004,"WGOA",126,14,0.00100884000248974,0.00101552599949232,0.000006685997002580301,0.00026978812899264315,0.0005371302140376739,0.00162666753551226,21-JUL-22
"Spiny dogfish","NMFS management area",2005,"BS",96,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2005,"CAN",168,164,0.1253296445519946,0.1255788854355541,0.00024924088355948726,0.00945728877714162,0.10759225925907703,0.14476335658393596,21-JUL-22
"Spiny dogfish","NMFS management area",2005,"CGOA",387,182,0.04459005881162768,0.04455484661030442,-0.00003521220132325642,0.00530948057177324,0.03554304514204254,0.05670487131341484,21-JUL-22
"Spiny dogfish","NMFS management area",2005,"EGOA",189,173,0.21123316731373828,0.21139412532007565,0.0001609580063373639,0.01654783508864218,0.1799639145507048,0.2455687610512738,21-JUL-22
"Spiny dogfish","NMFS management area",2005,"WC",84,42,0.04122698103139283,0.04141346941269444,0.0001864883813016069,0.00877375251546343,0.02737139464350798,0.0630019022450487,21-JUL-22
"Spiny dogfish","NMFS management area",2005,"WGOA",119,13,0.0008499188304071743,0.0008410844671298134,-0.000008834363277360874,0.0002320851240200429,0.0004387329880198456,0.00139641465210709,21-JUL-22
"Spiny dogfish","NMFS management area",2006,"BS",130,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2006,"CAN",168,166,0.13955827878991203,0.1396006939093988,0.00004241511948677168,0.0088038081166674,0.12289266274971523,0.15802751233692997,21-JUL-22
"Spiny dogfish","NMFS management area",2006,"CGOA",383,190,0.04556512408885948,0.04567203287370759,0.00010690878484811288,0.00484880022176455,0.03729742829605909,0.05695385118228837,21-JUL-22
"Spiny dogfish","NMFS management area",2006,"EGOA",185,160,0.24742313347783595,0.24680624240579505,-0.0006168910720409371,0.01764718681428076,0.21626057426311965,0.2846582246195084,21-JUL-22
"Spiny dogfish","NMFS management area",2006,"WC",109,46,0.05305311652240856,0.05341161605982146,0.0003584995374129041,0.01017474194874626,0.03616824247776753,0.07702348932986282,21-JUL-22
"Spiny dogfish","NMFS management area",2006,"WGOA",125,12,0.0008748319731431191,0.0008729528310469692,-0.0000018791420961499373,0.00025233800753215264,0.00047088267018982177,0.00148641686730377,21-JUL-22
"Spiny dogfish","NMFS management area",2007,"AI",88,7,0.000926205303979678,0.000926102361344131,-0.00000010294263554696399,0.00035375607184666023,0.0004582989636968144,0.00192385424666924,21-JUL-22
"Spiny dogfish","NMFS management area",2007,"BS",132,0,0,0,0,0,0,0,21-JUL-22
"Spiny dogfish","NMFS management area",2007,"CGOA",389,155,0.05309598273558236,0.05324149870478139,0.00014551596919903237,0.00547757907614448,0.0433906713230499,0.06498494158727999,21-JUL-22
"Spiny dogfish","NMFS management area",2007,"EGOA",191,185,0.2199817468556442,0.2197996858139764,-0.00018206104166779147,0.01352980300808642,0.1936462745580925,0.24702079963590076,21-JUL-22
"Spiny dogfish","NMFS management area",2007,"INSIDE",68,22,0.02598386420255132,0.0261746833494632,0.00019081914691188376,0.00707217314344169,0.01500370292634307,0.04369003560395316,21-JUL-22
"Spiny dogfish","NMFS management area",2007,"WGOA",122,6,0.0004993305191039026,0.00050068683867949,0.000001356319575587339,0.00020376585302533365,0.0001677047570056892,0.00107810466199623,21-JUL-22
"Spiny dogfish","NMFS management area",2008,"AI",90,12,0.00225232844682512,0.00224123441818796,-0.000011094028637161774,0.0006915908733527167,0.0012351893720114,0.00425952440304163,21-JUL-22
"Spiny dogfish","NMFS management area",2008,"BS",125,1,0.00007931789957018707,0.00008361239488418504,0.00000429449531399797,0.00008075134067614088,0,0.000477337622537302,21-JUL-22
"Spiny dogfish","NMFS management area",2008,"CGOA",387,165,0.03046124376970443,0.03055819573241334,0.00009695196270891047,0.0031089665096906,0.02488766946360923,0.03734365679667192,21-JUL-22
"Spiny dogfish","NMFS management area",2008,"EGOA",188,175,0.16952640937372712,0.16965213988296104,0.00012573050923392337,0.01281263113481924,0.14644526215528075,0.19565758379105197,21-JUL-22
"Spiny dogfish","NMFS management area",2008,"INSIDE",68,37,0.03130489697667223,0.03130674384658951,0.0000018468699172838332,0.00738765295097514,0.01969170306919932,0.05024573043059524,21-JUL-22
"Spiny dogfish","NMFS management area",2008,"WGOA",119,15,0.00152576414961538,0.00153093653864362,0.000005172389028238128,0.00040221715162911135,0.0008463921515757864,0.00254421580979058,21-JUL-22
"Spiny dogfish","NMFS management area",2009,"AI",94,1,0.0000778111603335534,0.00007602683014992843,-0.0000017843301836249705,0.00007492929484707682,0,0.00046501418379832376,21-JUL-22
"Spiny dogfish","NMFS management area",2009,"BS",124,1,0.00005863693362067194,0.000058495968854894954,-0.00000014096476577698754,0.00005825453547179695,0,0.0002956157637916737,21-JUL-22
"Spiny dogfish","NMFS management area",2009,"CGOA",378,211,0.03691485188267544,0.03678550983925916,-0.00012934204341628203,0.00337585268266995,0.03117114847025197,0.04409576365771311,21-JUL-22
"Spiny dogfish","NMFS management area",2009,"EGOA",180,166,0.13235220089335742,0.13239660288135455,0.00004440198799715578,0.0121942090689003,0.11089081333727507,0.15894331536317524,21-JUL-22
"Spiny dogfish","NMFS management area",2009,"INSIDE",66,27,0.02330530351425239,0.02318815028540902,-0.00011715322884336964,0.00661836839476875,0.01397645820775083,0.04616177351174089,21-JUL-22
"Spiny dogfish","NMFS management area",2009,"WGOA",121,11,0.0007175806574713842,0.0007102220738122241,-0.000007358583659160126,0.00021584461308982495,0.00041475229223443565,0.0013198516097108,21-JUL-22
